index,value
0,114
1,234
2,132
3,60
4,180
5,42
6,33
7,231
8,30
9,15
10,93
11,171
12,129
13,246
14,270
15,219
16,261
17,258
18,207
19,180
20,285
21,105
22,102
23,42
24,207
25,291
26,228
27,60
28,252
29,54
30,213
31,60
32,168
33,159
34,108
35,69
36,201
37,156
38,39
39,18
40,33
41,183
42,174
43,57
44,300
45,120
46,240
47,78
48,21
49,87
50,30
51,54
52,120
53,24
54,174
55,294
56,93
57,15
58,63
59,138
60,189
61,6
62,198
63,147
64,75
65,33
66,300
67,96
68,162
69,216
70,144
71,174
72,15
73,273
74,240
75,186
76,81
77,240
78,120
79,48
80,285
81,66
82,201
83,141
84,132
85,300
86,69
87,75
88,123
89,165
90,45
91,36
92,300
93,207
94,48
95,216
96,174
97,69
98,135
99,189
100,102
101,177
102,159
103,114
104,273
105,180
106,150
107,297
108,60
109,246
110,18
111,30
112,219
113,252
114,186
115,18
116,123
117,273
118,87
119,114
120,69
121,186
122,84
123,147
124,192
125,111
126,210
127,45
128,195
129,201
130,54
131,69
132,249
133,126
134,297
135,297
136,195
137,81
138,6
139,288
140,135
141,51
142,72
143,108
144,60
145,126
146,18
147,6
148,207
149,288
150,258
151,51
152,219
153,123
154,291
155,30
156,111
157,84
158,42
159,87
160,21
161,243
162,267
163,39
164,60
165,207
166,171
167,12
168,306
169,108
170,234
171,120
172,135
173,15
174,15
175,33
176,102
177,18
178,264
179,216
180,222
181,297
182,12
183,180
184,132
185,186
186,270
187,294
188,138
189,276
190,177
191,42
192,108
193,9
194,204
195,84
196,171
197,183
198,105
199,63
200,87
201,126
202,144
203,207
204,204
205,45
206,243
207,81
208,123
209,123
210,159
211,273
212,144
213,249
214,33
215,99
216,246
217,219
218,126
219,48
220,84
221,84
222,96
223,9
224,12
225,165
226,90
227,75
228,189
229,189
230,84
231,282
232,15
233,198
234,120
235,108
236,207
237,300
238,114
239,144
240,6
241,36
242,291
243,306
244,213
245,216
246,165
247,201
248,201
249,18
250,102
251,180
252,129
253,234
254,192
255,297
256,129
257,51
258,201
259,120
260,147
261,291
262,168
263,165
264,111
265,237
266,249
267,42
268,300
269,60
270,270
271,99
272,36
273,165
274,168
275,222
276,288
277,45
278,180
279,48
280,78
281,96
282,27
283,264
284,246
285,117
286,114
287,45
288,108
289,216
290,135
291,27
292,24
293,204
294,156
295,252
296,141
297,33
298,243
299,168
300,36
301,126
302,189
303,9
304,168
305,207
306,111
307,291
308,15
309,306
310,168
311,54
312,156
313,111
314,303
315,30
316,165
317,279
318,96
319,9
320,45
321,201
322,78
323,132
324,249
325,306
326,162
327,306
328,105
329,270
330,156
331,288
332,249
333,285
334,186
335,144
336,54
337,81
338,144
339,237
340,180
341,6
342,261
343,117
344,198
345,33
346,162
347,48
348,165
349,141
350,63
351,225
352,183
353,285
354,87
355,99
356,210
357,201
358,96
359,126
360,168
361,165
362,57
363,270
364,216
365,171
366,33
367,42
368,186
369,6
370,87
371,246
372,66
373,141
374,60
375,141
376,279
377,81
378,204
379,234
380,18
381,303
382,135
383,12
384,291
385,300
386,183
387,45
388,249
389,264
390,72
391,15
392,276
393,225
394,78
395,153
396,18
397,249
398,213
399,48
400,306
401,30
402,213
403,84
404,213
405,264
406,96
407,144
408,204
409,126
410,294
411,276
412,33
413,156
414,105
415,255
416,159
417,48
418,234
419,165
420,105
421,39
422,180
423,288
424,84
425,246
426,174
427,228
428,219
429,147
430,210
431,183
432,195
433,204
434,252
435,252
436,33
437,165
438,210
439,114
440,120
441,168
442,231
443,33
444,27
445,30
446,105
447,240
448,279
449,261
450,90
451,276
452,48
453,156
454,183
455,267
456,153
457,156
458,18
459,147
460,84
461,54
462,48
463,222
464,150
465,141
466,96
467,279
468,87
469,45
470,177
471,99
472,27
473,210
474,93
475,9
476,54
477,240
478,108
479,72
480,246
481,291
482,171
483,66
484,18
485,279
486,111
487,300
488,237
489,285
490,105
491,69
492,15
493,216
494,132
495,90
496,144
497,51
498,240
499,39
500,132
501,282
502,156
503,51
504,237
505,243
506,78
507,87
508,159
509,24
510,267
511,132
512,51
513,264
514,258
515,231
516,246
517,6
518,123
519,297
520,201
521,9
522,78
523,252
524,162
525,120
526,18
527,186
528,258
529,192
530,282
531,210
532,171
533,69
534,72
535,234
536,87
537,192
538,48
539,258
540,165
541,303
542,18
543,108
544,267
545,135
546,258
547,210
548,111
549,111
550,111
551,87
552,51
553,150
554,6
555,267
556,195
557,15
558,15
559,6
560,102
561,237
562,222
563,120
564,186
565,18
566,261
567,138
568,297
569,57
570,42
571,300
572,210
573,237
574,150
575,153
576,120
577,90
578,162
579,33
580,90
581,111
582,45
583,228
584,93
585,288
586,276
587,189
588,285
589,186
590,36
591,261
592,111
593,180
594,81
595,75
596,117
597,66
598,240
599,12
600,84
601,171
602,237
603,198
604,93
605,33
606,177
607,213
608,180
609,111
610,231
611,36
612,198
613,60
614,156
615,120
616,78
617,162
618,96
619,135
620,294
621,240
622,147
623,66
624,261
625,204
626,180
627,57
628,102
629,75
630,303
631,183
632,174
633,39
634,201
635,111
636,261
637,33
638,303
639,285
640,48
641,303
642,153
643,306
644,243
645,273
646,75
647,72
648,228
649,63
650,117
651,99
652,72
653,21
654,138
655,180
656,102
657,18
658,87
659,6
660,291
661,108
662,81
663,18
664,45
665,237
666,300
667,21
668,99
669,144
670,144
671,174
672,252
673,141
674,282
675,129
676,306
677,273
678,45
679,147
680,105
681,42
682,42
683,111
684,42
685,96
686,15
687,156
688,303
689,126
690,198
691,18
692,288
693,306
694,72
695,183
696,30
697,9
698,267
699,21
700,36
701,198
702,303
703,87
704,177
705,258
706,36
707,171
708,108
709,162
710,66
711,120
712,21
713,12
714,174
715,48
716,93
717,87
718,99
719,201
720,24
721,195
722,189
723,84
724,258
725,249
726,168
727,36
728,216
729,291
730,279
731,189
732,51
733,75
734,108
735,117
736,150
737,93
738,93
739,270
740,165
741,186
742,207
743,63
744,285
745,69
746,93
747,102
748,306
749,33
750,48
751,213
752,15
753,57
754,69
755,219
756,291
757,276
758,9
759,33
760,276
761,240
762,156
763,9
764,135
765,174
766,201
767,303
768,78
769,171
770,222
771,267
772,276
773,6
774,75
775,69
776,78
777,210
778,147
779,84
780,132
781,24
782,264
783,162
784,12
785,78
786,300
787,120
788,306
789,228
790,246
791,27
792,117
793,135
794,288
795,198
796,267
797,282
798,270
799,165
800,111
801,216
802,291
803,99
804,141
805,153
806,234
807,156
808,78
809,144
810,198
811,66
812,285
813,255
814,228
815,204
816,255
817,30
818,306
819,30
820,156
821,84
822,84
823,291
824,90
825,117
826,282
827,141
828,279
829,51
830,87
831,9
832,99
833,273
834,33
835,42
836,27
837,171
838,111
839,183
840,99
841,138
842,288
843,219
844,252
845,57
846,84
847,114
848,66
849,174
850,171
851,135
852,243
853,72
854,102
855,69
856,162
857,45
858,114
